时间,负荷,最高温度℃,最低温度℃,平均温度℃,相对湿度(平均),降雨量（mm）
2018/1/1 0:00,4454.57872,20.7,9.3,14.3,40,0
2018/1/1 0:15,4347.689248,20.7,9.3,14.3,40,0
2018/1/1 0:30,4234.124224,20.7,9.3,14.3,40,0
2018/1/1 0:45,4145.332192,20.7,9.3,14.3,40,0
2018/1/1 1:00,4070.123584,20.7,9.3,14.3,40,0
2018/1/1 1:15,3960.793312,20.7,9.3,14.3,40,0
2018/1/1 1:30,3897.85888,20.7,9.3,14.3,40,0
2018/1/1 1:45,3825.936928,20.7,9.3,14.3,40,0
2018/1/1 2:00,3744.27856,20.7,9.3,14.3,40,0
2018/1/1 2:15,3691.638208,20.7,9.3,14.3,40,0
2018/1/1 2:30,3626.362624,20.7,9.3,14.3,40,0
2018/1/1 2:45,3576.529408,20.7,9.3,14.3,40,0
2018/1/1 3:00,3519.144256,20.7,9.3,14.3,40,0
2018/1/1 3:15,3482.543584,20.7,9.3,14.3,40,0
2018/1/1 3:30,3460.556896,20.7,9.3,14.3,40,0
2018/1/1 3:45,3421.156288,20.7,9.3,14.3,40,0
2018/1/1 4:00,3406.303744,20.7,9.3,14.3,40,0
2018/1/1 4:15,3359.548288,20.7,9.3,14.3,40,0
2018/1/1 4:30,3336.43984,20.7,9.3,14.3,40,0
2018/1/1 4:45,3306.11824,20.7,9.3,14.3,40,0
2018/1/1 5:00,3299.989888,20.7,9.3,14.3,40,0
2018/1/1 5:15,3275.184544,20.7,9.3,14.3,40,0
2018/1/1 5:30,3266.513632,20.7,9.3,14.3,40,0
2018/1/1 5:45,3243.046048,20.7,9.3,14.3,40,0
2018/1/1 6:00,3204.844864,20.7,9.3,14.3,40,0
2018/1/1 6:15,3189.328,20.7,9.3,14.3,40,0
2018/1/1 6:30,3170.319808,20.7,9.3,14.3,40,0
2018/1/1 6:45,3143.485504,20.7,9.3,14.3,40,0
2018/1/1 7:00,3140.1304,20.7,9.3,14.3,40,0
2018/1/1 7:15,3150.537568,20.7,9.3,14.3,40,0
2018/1/1 7:30,3146.844256,20.7,9.3,14.3,40,0
2018/1/1 7:45,3101.701312,20.7,9.3,14.3,40,0
2018/1/1 8:00,3082.38016,20.7,9.3,14.3,40,0
2018/1/1 8:15,3096.92176,20.7,9.3,14.3,40,0
2018/1/1 8:30,3183.646048,20.7,9.3,14.3,40,0
2018/1/1 8:45,3232.48816,20.7,9.3,14.3,40,0
